Question,Answer
What is the purpose of integration testing?,Integration testing verifies that multiple components or systems work together as intended and checks their interactions.
What is represented by the solid line with a triangle at the end in UML?,"A solid line with a triangle at the end represents generalization, indicating an inheritance relationship between classes."
What is Continuous Deployment (CD)?,"Continuous Deployment is an extension of Continuous Delivery, where code changes are automatically deployed to production after passing automated tests."
What is the difference between an unstable and stable sorting algorithm?,"A stable sorting algorithm maintains the relative order of equal elements, while an unstable algorithm does not."
Can a database be normalized to 5NF (Fifth Normal Form)?,"Yes, a database can be normalized to 5NF by eliminating join dependencies and ensuring that the table represents a single fact without redundancy."
What is the time complexity for searching a word in a trie?,"The time complexity for searching a word in a trie is O(k), where k is the length of the word being searched."
What does the HTTP PUT method do in a REST API?,The PUT method is used to update an existing resource on the server by providing a full replacement of the resource.
What is the key difference between quantum computing and classical computing?,"Quantum computing uses qubits, which can represent both 0 and 1 simultaneously, allowing for parallel computation, while classical computing uses bits that can only represent either 0 or 1."
What is the significance of traceability in requirements engineering?,"Traceability allows you to track each requirement throughout the project, ensuring that all requirements are addressed during design, implementation, and testing."
In what scenarios is vertical scaling preferred over horizontal scaling?,"Vertical scaling is preferred when an application requires high performance for specific tasks, such as running a single complex query or processing a large amount of data in memory."
What is Ansible used for in configuration management?,"Ansible is an open-source automation tool used to manage and configure systems, deploy software, and automate IT tasks through simple, declarative language."
What is the main benefit of using Travis CI in a CI/CD pipeline?,"Travis CI provides cloud-based continuous integration, enabling developers to automatically run builds and tests on each commit to GitHub repositories."
What is a hybrid cryptographic system in the context of post-quantum cryptography?,A hybrid cryptographic system combines classical and post-quantum algorithms to provide security both now and in the future when quantum computers become available.
What is loop unrolling in compiler optimization?,"Loop unrolling is an optimization technique where the body of a loop is expanded to reduce the overhead of loop control, thereby improving performance."
What is the Singleton pattern in software design?,The Singleton pattern ensures that a class has only one instance and provides a global point of access to that instance.
What is denormalization in database design?,Denormalization is the process of intentionally introducing redundancy into a database to improve query performance by reducing the number of joins required.
What is the main advantage of using MQTT in IoT communication?,"MQTT is lightweight and efficient, making it ideal for devices with limited resources and networks with low bandwidth."
What is a good value for Cyclomatic Complexity?,"A Cyclomatic Complexity value of 10 or lower is considered manageable for a function or method, indicating that itâ€™s relatively simple and maintainable."
What is the purpose of operators like `map` and `filter` in Reactive Programming?,"Operators like `map` and `filter` allow you to transform the data emitted by an Observable, modifying or filtering the values before they reach the Observer."
